,Question_id,total_attempts,correct_attempts,total_attempts_by_u1,correct_attempts_by_u1,total_attempts_by_u3,correct_attempts_by_u3,total_attempts_by_u4,correct_attempts_by_u4,accuracy_of_u1,accuracy_of_u3,accuracy_of_u4,overall_accuracy,individual_q_accuracy,,,,,,,,
50,10961,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
51,10968,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
52,10980,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
53,10995,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
55,11003,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
56,11014,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
57,11016,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
59,11040,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
60,11049,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
61,11059,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
62,1107,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
64,11107,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
65,1112,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
66,1113,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
67,11176,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
68,11182,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
70,11185,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
71,11187,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
72,11194,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
73,11198,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
74,11208,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
75,11220,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
76,11223,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
77,11241,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
78,11243,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
84,11302,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
85,11314,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
86,1144,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
87,1149,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
89,11523,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
90,11524,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
91,11525,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
92,11526,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
93,11546,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
94,11550,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
95,1157,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
96,11574,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
97,11615,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
98,11616,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
99,11617,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
100,11618,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
101,11636,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
102,11657,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
105,1182,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
106,11838,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
